time	V(n009)
1.831343376892673e-04	2.027656e+00
1.851343376892673e-04	1.991673e+00
1.861343376892673e-04	1.982182e+00
1.877382029211990e-04	1.976609e+00
1.886378478810398e-04	1.978690e+00
1.901003451461540e-04	1.990323e+00
1.924552685830522e-04	2.034261e+00
1.934552685830522e-04	2.064228e+00
1.937052685830522e-04	2.073244e+00
1.942052685830523e-04	2.092380e+00
1.952052685830523e-04	2.137810e+00
1.962052685830523e-04	2.192994e+00
1.972052685830522e-04	2.257767e+00
1.982052685830522e-04	2.331331e+00
1.992052685830522e-04	2.411563e+00
2.002052685830522e-04	2.495459e+00
2.012052685830522e-04	2.579378e+00
2.022052685830522e-04	2.659678e+00
2.032052685830522e-04	2.733358e+00
2.042052685830522e-04	2.798388e+00
2.052052685830522e-04	2.853847e+00
2.062052685830522e-04	2.899706e+00
2.072052685830522e-04	2.936563e+00
2.082052685830522e-04	2.965317e+00
2.102052685830522e-04	3.002440e+00
2.112052685830522e-04	3.012115e+00
2.127651879568413e-04	3.017459e+00
2.136817796262892e-04	3.015042e+00
2.151715873315469e-04	3.002015e+00
2.173157280589397e-04	2.960336e+00
2.183157280589397e-04	2.929856e+00
2.185657280589397e-04	2.920701e+00
2.190657280589397e-04	2.901269e+00
2.200363026257005e-04	2.856615e+00
2.210235108382929e-04	2.801628e+00
2.220235108382929e-04	2.736291e+00
2.230235108382929e-04	2.662024e+00
2.240235108382929e-04	2.580950e+00
2.250235108382929e-04	2.496083e+00
2.260235108382929e-04	2.411088e+00
2.270235108382929e-04	2.329660e+00
2.280235108382929e-04	2.254857e+00
2.290235108382929e-04	2.188762e+00
2.300235108382929e-04	2.132334e+00
2.310235108382929e-04	2.085614e+00
2.320235108382928e-04	2.047997e+00
2.330235108382928e-04	2.018562e+00
2.350235108382928e-04	1.980173e+00
2.360235108382928e-04	1.969851e+00
2.376959027058782e-04	1.963298e+00
2.385689795737559e-04	1.965183e+00
2.399886210465254e-04	1.976212e+00
2.422769047604804e-04	2.018145e+00
2.432769047604804e-04	2.047659e+00
2.435269047604804e-04	2.056563e+00
2.440269047604804e-04	2.075487e+00
